F1,Threshold,Image Size,Index,Duration
0.3784830635646796,94.0,571020,1228,0.0
0.5977780983984995,73.0,52780,1230,0.0
0.9993894699635288,51.0,65508,1231,0.0
0.0,74.0,7600,1232,0.0
0.9439652710344434,35.0,29318,1233,0.0
0.8679365079365079,104.0,21228,1235,0.0
0.6140579564825027,112.0,31443,1236,0.0
0.8031904378107939,98.0,97857,1237,0.0
0.9216176678778727,90.0,64320,1238,0.0
0.933525901714112,100.0,18966,1239,0.0
0.921677614957049,92.0,7810,1241,0.0
0.3364835815362169,75.0,284192,1242,0.0
0.024129063200284455,98.0,134244,1243,0.0
0.0,0.0,373596,1244,0.0
0.9368393216753345,76.0,92484,1245,0.0
0.8665112212183037,91.0,8624,1246,0.0
0.9395220164450934,96.0,25344,1247,0.0
0.5826547043938348,44.0,30806,1248,0.0
0.3633341856302736,84.0,97643,1249,0.0
0.8416840640222686,65.0,50552,1250,0.0
0.9113854446604348,53.0,281232,1251,0.0
0.692227438706312,35.0,7521,1252,0.0
0.8688621264754393,56.0,122760,1253,0.0
0.14836602151092979,85.0,402073,1255,0.0
0.2149307855922452,78.0,30056,1256,0.0
0.9491845084117636,115.0,201600,1257,0.0
0.4623088532952697,48.0,65714,1258,0.0
0.9532727587470159,107.0,170796,1259,0.0
0.271224626849505,91.0,147288,1260,0.0
0.17246044505354524,92.0,241605,1261,0.0
0.20237754408754696,88.0,502180,1262,0.0
0.9174532532445181,41.0,114452,1263,0.0
0.9105441131263449,35.0,3723,1265,0.0
0.9829214522889337,96.0,89712,1266,0.0
0.759685599780354,105.0,589968,1269,0.0
0.6795166775197163,108.0,153692,1270,0.0
0.921564878198019,98.0,41310,1272,0.0
0.9383395874503186,102.0,157314,1273,0.0
0.9248695521603664,110.0,109975,1274,0.0
0.11037557547855585,91.0,117652,1275,0.0
0.2742795291570829,82.0,38250,1276,0.0
0.4795293781408531,87.0,51442,1277,0.0
0.9404080642225952,108.0,40663,1278,0.0
0.9703207552617144,71.0,38285,1279,0.0
0.8817851079311181,97.0,17172,1280,0.0
0.8977960418711155,68.0,53912,1281,0.0
0.1913940835995669,84.0,71810,1282,0.0
1.0,42.0,17115,1283,0.0
0.9986745029386019,40.0,21160,1284,0.0
0.6508585445625511,45.0,24750,1285,0.0
1.0,39.0,46096,1286,0.0
0.4820264290041379,49.0,73920,1287,0.0
0.6207576032565013,46.0,53196,1288,0.0
0.8557717250324254,104.0,25074,1289,0.0
