Index,Red Water STD,Red Non-Water STD,Green Water STD,Green Non-Water STD,Blue Water STD,Blue Non-Water STD
7596,15.4642606,30.92249422,18.17922688,31.62368615,27.59570956,31.04604678
7597,19.89902871,33.5072405,25.97571424,32.72854632,33.971729,34.79635277
7598,12.68582835,6.263941064,15.41887049,6.762242867,22.66199368,9.221508274
7599,12.43765967,48.09648265,12.97206993,49.30713426,14.93240281,50.87915565
7600,8.659742532,55.66912082,11.66904635,55.03098156,19.17530199,53.41428444
7601,8.974995596,41.46380884,11.07418521,36.82722395,18.90691482,32.43084671
7602,10.1467151,54.39108768,12.96829154,55.58338484,20.46511546,56.33799524
7603,12.01319318,3.023954874,16.28700256,2.423235043,24.84397107,3.599336877
7604,11.57936875,27.64704406,14.30758183,28.27882018,23.86289138,30.32183515
7607,14.32061174,12.84342253,16.29695071,11.79020416,27.04274264,12.01798086
7608,25.42650081,3.582671679,26.6275884,5.475103769,35.89471103,4.679264895
7609,11.48094615,23.28070532,14.98635766,26.54356704,29.04048049,23.83292131
7610,14.39907366,59.6650231,16.08377371,52.4864247,32.57612179,38.41020859
7611,7.045858358,54.76437249,8.231805727,54.44870105,16.00398972,53.06129544
7613,6.653297755,3.159723554,7.364856998,3.698654275,10.75204803,6.582461164
7614,19.36698768,19.01635391,23.00988072,17.47873504,37.64757962,13.75958563
7615,23.15686778,15.85166978,25.35728338,15.80160367,48.62445948,23.10315078
7616,20.14611532,22.20681955,24.39977031,25.09229373,30.8726998,28.70327006
7617,15.15700726,9.762823959,18.38495082,11.31486543,36.72886888,14.89638665
7618,17.13279435,31.73340268,19.49387141,30.08637368,33.35402013,23.1476651
7619,15.90117048,39.64489161,21.42298198,36.8033718,30.81842719,27.27540717
7620,12.80978983,40.13480676,15.69371008,35.5684241,35.20063748,25.61781127
7621,7.797390274,41.43025871,9.836700074,39.04607283,15.42246742,27.97957501
7622,8.123240101,44.44599022,10.75219396,39.23788342,18.61723806,32.732864
7623,12.63631099,38.98173676,15.42828253,35.01885193,26.05992132,29.73665248
7624,11.80448844,34.54003736,14.93026606,32.71312185,27.13377514,27.48224533
7625,11.20415008,32.01187162,14.6870333,28.392294,24.29730632,24.21655841
7626,10.93513459,32.55188495,12.95793909,27.41126306,18.27467285,22.00047453
7627,15.46509901,28.30205161,18.79747762,29.83025305,32.59024371,23.93636464
7628,42.78014573,2.922058332,45.98231416,3.801274354,52.75811355,6.197534414
7629,12.72376144,21.14866091,18.20991407,17.56024722,35.87444968,11.53666886
7631,15.30384033,50.82949693,17.26409803,45.24775681,32.96728124,35.4501868
7632,10.75628899,40.64674999,14.41801929,40.16026905,19.59191776,39.21534934
7633,52.43420626,2.009479161,46.76693592,1.960777661,43.24591141,3.221533869
7634,12.53599785,43.15266656,15.15210459,35.39175488,22.47075838,28.21329028
7636,16.46537794,31.09835616,21.10824499,25.65057137,31.4018303,18.93430554
7637,35.89520742,4.77730271,33.97522296,4.511578296,43.67831544,10.92349418
7638,43.91634971,9.533040399,42.96707285,19.70891493,39.03515987,14.10544424
7639,9.305296397,39.66058288,12.20941248,33.5199777,21.70389117,21.77348272
7641,6.074727978,53.3401453,7.358408137,44.24068083,12.9970413,31.06642825
7642,14.88038296,26.34405785,17.02652324,27.76091004,25.15406767,23.28621413
7646,20.30953404,11.05784682,25.76334959,4.375726482,38.4298611,11.35345007
7647,16.51291383,13.78036135,20.90202412,13.96733505,37.43988682,19.1895184
7648,16.93480574,14.29999393,22.17909157,13.28412905,41.83027328,7.569832265
7651,16.22379719,37.75687459,18.24239339,37.25843131,26.73284872,28.30192206
7652,22.97645009,25.35374626,26.80252147,23.56934491,41.66864067,24.08140566
7658,8.000417528,30.61931838,10.58928071,32.44252956,17.88119163,32.31428791
7659,20.04373455,27.10616249,24.15965433,26.5832838,42.92727547,30.35538312
7661,22.38460002,15.32260611,26.73598133,17.77549976,48.66912331,7.668223628
7664,4.102346977,57.89541212,5.205636801,51.660249,7.58053453,47.44351664
7665,12.30004186,48.39949993,14.52575423,38.69678565,23.58780265,27.70751818
7666,9.620373585,35.02665485,11.81429195,38.5256329,17.63445126,30.64102419
7673,43.395983,22.92644953,45.9049902,26.12372697,51.69311842,29.67715374
7674,24.3421374,39.58747955,26.05984575,45.43420866,36.2134274,57.07343035
7676,19.89837994,34.21990693,20.03539888,25.53764386,42.62446629,23.45263516
7677,26.44511848,8.67787845,28.6728166,17.08821741,46.7400291,13.4919201
7678,20.10950574,27.469458,22.14136041,26.63683557,24.0840293,25.82934931
7680,--,70.82330143,--,62.15307226,--,54.73750757
7681,22.17497649,39.29713473,28.24391065,42.43939267,42.63262871,46.41507025
7682,23.90770671,4.099569728,23.33477799,4.58556349,26.34980709,8.581583933
7683,16.55617536,16.16875114,17.68775128,18.42023723,23.57161096,13.97756493
7684,20.63868139,14.81396108,25.52573545,13.63718873,36.51573315,15.30363572
7685,12.04124775,4.362960334,14.81617207,2.767125954,20.01415196,5.420161294
7686,22.20374023,37.00546462,24.93617547,39.00550252,34.02886532,39.54791933
7687,24.01247129,12.29169584,29.64586239,9.134795227,38.27398198,12.03357174
7688,20.47969315,34.5518806,23.46727278,37.57995681,41.80814614,45.49121786
7689,24.08041797,16.9384559,29.84795209,14.40012133,42.24216442,16.26199107
7690,20.93496552,19.3086935,24.78969137,17.50786429,39.97958382,30.72703448
7691,--,42.5757781,--,42.95002284,--,46.87678143
7692,22.6818951,19.36938139,25.55549714,18.33754664,39.86412353,15.96302853
7693,23.76144735,10.98690281,26.82732361,13.5325842,42.70327954,9.363156103
7694,25.45950445,27.62524622,29.2661169,28.75179256,47.12791814,29.69392842
7695,13.34601974,32.35064058,14.47193267,32.05065298,22.61358854,29.97989782
7696,10.28107927,3.182653494,14.24074421,3.147468371,21.03931717,5.510413957
7697,11.60451741,2.884612667,15.97687818,2.696037268,24.31022404,5.189647156
7698,8.01113631,2.938611164,11.15073523,2.993392943,20.16970126,5.128720616
7699,12.37404295,28.16627577,15.55150413,26.78211269,25.49205464,24.25160147
7701,15.10326425,22.04840712,23.11295805,21.70214831,37.54056961,19.72119025
7702,18.47598388,42.07690675,26.26261034,43.35291776,48.03792807,44.96466714
7703,17.00709992,39.54632361,24.22189477,41.99023092,40.56234929,47.97362871
7704,17.09183926,13.73680653,25.22573622,14.32634041,52.83754305,21.87230806
7705,8.486331829,12.2883453,11.65898824,11.99537218,20.81735642,13.32314164
7706,20.47167177,31.60008098,24.19306919,36.82982367,46.69767476,36.55713713
7707,20.59963069,16.78040659,24.93543289,15.54851051,45.0789542,13.1194567
7708,16.96312486,19.56344131,22.05553902,19.46762837,44.84846861,20.91910679
7709,11.32285607,28.3296388,14.3008478,28.75617905,26.51445188,24.6307524
